GEO_ID,county,ln_hh_inc_x,eqi_2jan2018_vc,Total,population.x,superfund,insecticide_ln_x,gini_est_x,std_coal_prim_pop_ln_y,hc_env_rate_ln_x,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population.y
0500000US47117,"Marshall County, TN",9.3679419,0.766847372,1478,149443,TRUE,5.84889241,0.414,-14.28535668,-6.06663084,Marshall,Marshall County,47117,TN,Tennessee,35.4689,-86.765,32965
0500000US54051,"Marshall County, WV",9.5465984,0.931056321,1943,166868,TRUE,5.532763469,0.473,-8.793931622,-5.97668314,Marshall,Marshall County,54051,WV,West Virginia,39.8606,-80.6634,31308
0500000US12085,"Martin County, FL",10.988728,-0.32966882,8436,721537,TRUE,10.99611349,0.512,-14.28535668,-4.911602974,Martin,Martin County,12085,FL,Florida,27.0775,-80.4315,159065
0500000US26105,"Mason County, MI",9.4189796,-0.243491992,1557,143560,TRUE,9.450127317,0.428,-14.28535668,-5.494142056,Mason,Mason County,26105,MI,Michigan,43.9952,-86.25,28954
0500000US54053,"Mason County, WV",9.2994499,1.244123816,1600,135116,TRUE,6.674140428,0.444,-7.729191729,-5.925061226,Mason,Mason County,54053,WV,West Virginia,38.7697,-82.0266,26820
0500000US40087,"McClain County, OK",9.3774633,0.075809352,1451,165324,TRUE,7.783067754,0.391,-14.28535668,-6.018071651,McClain,McClain County,40087,OK,Oklahoma,35.0093,-97.4443,39247
0500000US45065,"McCormick County, SC",8.3226376,0.710955024,618,51020,TRUE,3.36441813,0.47,-14.28535668,-6.525322914,McCormick,McCormick County,45065,SC,South Carolina,33.8996,-82.3099,9531
0500000US21145,"McCracken County, KY",10.223431,0.101412773,3871,326109,TRUE,7.335470996,0.473,-14.28535668,-5.077082157,McCracken,McCracken County,21145,KY,Kentucky,37.054,-88.7127,65268
0500000US42083,"McKean County, PA",9.7598476,-0.044260651,2592,219361,TRUE,5.397181828,0.421,-14.28535668,-5.416676044,McKean,McKean County,42083,PA,Pennsylvania,41.8077,-78.569,41401
0500000US35031,"McKinley County, NM",9.7774143,-0.466035962,2407,353008,TRUE,6.57601682,0.472,-10.0639419,-6.083590508,McKinley,McKinley County,35031,NM,New Mexico,35.5807,-108.2618,72438
0500000US21149,"McLean County, KY",8.225771,0.891887188,593,48189,TRUE,8.059270954,0.442,-5.551226001,-6.454254627,McLean,McLean County,21149,KY,Kentucky,37.5292,-87.2636,9283
0500000US46093,"Meade County, SD",9.1813231,-1.166622877,974,125759,TRUE,9.45032203,0.377,-14.28535668,-5.853382587,Meade,Meade County,46093,SD,South Dakota,44.5668,-102.7169,27717
0500000US37119,"Mecklenburg County, NC",12.766808,0.497216076,25035,4410007,TRUE,5.926058984,0.477,-14.28535668,-5.471748829,Mecklenburg,Mecklenburg County,37119,NC,North Carolina,35.2467,-80.8328,1074475
0500000US06045,"Mendocino County, CA",10.445056,-1.183164358,4035,437447,TRUE,7.113854396,0.444,-14.28535668,-5.335911274,Mendocino,Mendocino County,06045,CA,California,39.4402,-123.3915,87224
0500000US06047,"Merced County, CA",11.20621,1.076407909,7327,1252511,TRUE,11.52236263,0.46,-14.28535668,-6.129558563,Merced,Merced County,06047,CA,California,37.1919,-120.7177,271382
